before_rebase	after_rebase	subject
5640d18f0a88871e76c0a369ffa535ec598a58d1	8426723c6dbb9ca54b8cf98c53092c6ad233ddaf	test: Characterize ROB stage ordering and callback mutations
7ac17f54d996f56cd46766a7473b8229f04be64f	5e9904560e5193db2e85e7f65f5fb8d6f096ba09	docs: Record ROB trial parity and consistent KIPS regression
6425c6aa6236427513d5cdc251c21db8f0b731f9	a3a30ce88e201b2b6d9ec6a8a2befcc554751566	test: Cover DRAM mapping tails, copies and checked boundaries
aad0547895640c13cd825ce9784a0dd180ddc009	183faa3486afff84a0e8936e7f67cebb58ffda0d	docs: Record DRAM descriptor parity and workload tradeoff
cd97b6ed96f7880c17f6ff059ca771d3e21b2113	1ea6b5cab54e14f6c3e31244cff42c0a9fbcae47	tools: Reject empty trace manifests before campaign setup
4bc0f04538a1b1a61adaf869a0e79107dcb79d01	da311dcbf888e536a786526ac6b0e33df9c39192	docs: Close performance pass with audited cumulative KIPS
f290a4b3417fa7f41edf0b29e024a931821060a9	be0525404738dbedf40ed74cea8b4fcf9a25bd15	docs: Specify portable simulator build modes
a612bf2b78e7cba8046b10445c08c517ab645271	f08d0f0e03d227bab89c1ffda96e0e2faaa62dab	docs: Set x86-64-v2 baseline after ETH CPU audit
e07f6ed81adc599aee7711d7084e538b47ff7f05	474a702c2eafdac20528e718020d250d37175802	docs: Start staged build optimization campaign
6b71dee03f21296fb23a15ce6aa8d955abcbdf90	c6588e2e6ecdf769ac40e89c9c51ebd2bbe375a3	docs: Record v2 parity and measured throughput cost
ebd9462668fc7dee281bf07c2c3026eb293c9dfb	e30afa2659c1d5a58f9dfb9a3839a5435cf11ad4	docs: Close v2 review and clarify build compatibility
99365e1e8ec17a0643f592bef10b015db586c7a8	b80b2a7fc98c4889f54690bb60ca232d57e3c8ef	sim: Make assertion policy explicit
8f0b06871df4c6851001e1f7518eea8b43cee25e	87aa5ba2f0b1eddbce8a19ec4e77ff7bdcdf127c	sim: Report construction errors through the CLI
d7976387d9cf76c53df25dc5a93aa362ab76aebf	232f7431fd74d03c7e0acf7fe05711ec6b2f564e	docs: Record assertion policy performance and acceptance
35877649e9eb75a795dcf9088a1b90902eac8faa	78a787f7d4a6e844300124856bf9452c188c8c87	build: isolate portable modes and compiler provenance
20fcec7e97a494991fd1adcc98da469fe4fdecec	27be6223c51089429412720001b90b96f58e20c4	build: preserve mode symbols and parse empty compiler macros
d71de93c688243283ae2cb2e05ec4b6fcc5dcfb2	8656a388edaaecbcb65ce607a23a4766a92b7090	build: reject grouped linker symbol-stripping switches
65fe18c3dac03c80eb5c8c4b8f51f7c2a4c31991	49dfb9797210be6636b8d99ac8c86c5559b87ae4	test: isolate compiler fixtures from inherited output roots
052e93c3141df208a6b41e5db6f9737869646f5c	4c38c5f5488a56b5a5bcd569c4573c2670970bd7	docs: accept isolated named build modes and measured release
084f7a1db5274b60c1aa3a1ae27f78121a3bbd02	a7b81016ee5aa32d90e8b2c40ac28e8794d5f132	docs: accept validated v2 fast mode with paired throughput gains
6b7e1641231f4e8e4503048a681278b76e6b41a7	bedfcb89d1b132ae0061a4506ca8efb114e9d7a6	build: Add explicit x86-64-v3 profile
1f093c02ee2fb7a6a9d24b552e38d18e71a8dbd9	2b87b56d581984489df12575a2d15cf4f0d4e0a3	test: Skip v3 builds on unsupported compilers
7cf069933df9614c38ea676d7fff1267c4308055	8d8aad286b32d30346d96d216423a49567644353	build: Restore accepted x86-64-v2 policy
18ce2dd05e9e9875c4134b90dcca778652f4eb81	12c30b54581cd935b1e78be63466240c455d7e95	docs: reject slower v3 trial and unrestricted head-native ISA
dc0c95e131a7b06d940714bd10682f77c1f92421	960ae389578c8ae93374f58fce4587ded34106b2	docs: close out build optimization campaign
97ed44d790caeef63c19e81d02fd95aa885df5e9	194074a937b0000d7fb100c25a1d6917874ccc76	build: reject untracked linker inputs
6b7ad551103f13298cafd71a07364322919e6882	63298f3dae2c000c33002f9eb7e6f2ac24a72b8b	docs: record final build campaign verification
2876fc9bb007a7ce548be392ed7d6c61fa291746	aee99d70ac766de9eae7aa6259e4633779a832fe	docs: record local native KIPS comparison
